"Adipose Tissue","Muscle","Blood Vessel","Heart","Uterus","Vagina","Breast","Skin","Salivary Gland","Brain","Adrenal Gland","Thyroid","Lung","Spleen","Pancreas","Esophagus","Stomach","Colon","Small Intestine","Prostate","Testis","Nerve","Blood","Pituitary","Ovary","Liver","Kidney","Bladder"
"Pantoea eucalypti","Sphingomonas piscis","Neisseria subflava","Rahnella aceris","Nocardioides cynanchi","Nesterenkonia pannonica","Mycobacterium doricum","Oryzomicrobium terrae","Staphylococcus saprophyticus","Shewanella xiamenensis","Pseudomonas khazarica","Paenarthrobacter nicotinovorans","Parvimonas micra","Microbacterium wangchenii","Nocardioides dongkuii","Paraburkholderia aromaticivorans","Pantoea deleyi","Nocardioides panacis","Paracoccus zhejiangensis","Methylobacterium terrae","Serpentinimonas maccroryi","Nocardia farcinica","Oscillatoria nigro-viridis","Protaetiibacter intestinalis","Pantoea agglomerans","Nocardioides dokdonensis","Paradevosia shaoguanensis","Lactobacillus helsingborgensis"
"Pantoea eucrina","Sphingomonas profundi","Neomicrococcus aestuarii","Rahnella victoriana","Nocardioides dokdonensis","Niallia circulans","Mycobacterium paragordonae","Oscillatoria acuminata","Staphylococcus schweitzeri","Shigella dysenteriae","Pseudomonas knackmussii","Paenibacillus naphthalenovorans","Pectobacterium carotovorum","Microcella flavibacter","Nocardioides euryhalodurans","Paraburkholderia fungorum","Pantoea eucalypti","Nocardioides piscis","Paradevosia shaoguanensis","Methylocaldum marinum","Serpentinimonas raichei","Nocardioides anomalus","Ottowia oryzae","Protaetiibacter larvae","Pantoea deleyi","Nocardioides dongkuii","Parageobacillus thermoglucosidasius","Lactobacillus intestinalis"
"Pantoea stewartii","Sphingomonas psychrotolerans","Neotabrizicola shimadae","Raineyella fluvialis","Nocardioides dongkuii","Niveibacterium microcysteis","Mycobacteroides chelonae","Oscillatoria nigro-viridis","Staphylococcus warneri","Shigella flexneri","Pseudomonas lundensis","Pandoraea commovens","Pedobacter heparinus","Micrococcus luteus","Nocardioides mesophilus","Paracoccus aminovorans","Pantoea eucrina","Nocardioides rotundus","Parageobacillus caldoxylosilyticus","Methylocella silvestris","Serratia fonticola","Nocardioides aquaticus","Ottowia testudinis","Providencia rettgeri","Pantoea dispersa","Nocardioides euryhalodurans","Parageobacillus toebii","Lactobacillus jensenii"
"Pantoea vagans","Sphingomonas radiodurans","Nesterenkonia pannonica","Ralstonia insidiosa","Nocardioides euryhalodurans","Nocardioides anomalus","Mycobacteroides immunogenum","Ottowia oryzae","Stenotrophomonas acidaminiphila","Shigella sonnei","Pseudomonas lurida","Pantoea agglomerans","Pedobacter mucosus","Micrococcus yunnanensis","Nocardioides okcheonensis","Paracoccus contaminans","Pantoea stewartii","Nocardioides seonyuensis","Parvimonas micra","Methylocystis bryophila","Serratia liquefaciens","Nocardioides aromaticivorans","Oxynema aestuarii","Pseudarthrobacter chlorophenolicus","Pantoea eucalypti","Nocardioides mesophilus","Parascardovia denticolens","Lactobacillus kefiranofaciens"
"Parabacteroides johnsonii","Sphingomonas rhizophila","Niallia circulans","Ralstonia mannitolilytica","Nocardioides mesophilus","Nocardioides aquaticus","Mycolicibacterium gadium","Ottowia testudinis","Stenotrophomonas indicatrix","Shinella zoogloeoides","Pseudomonas mandelii","Pantoea dispersa","Pedobacter schmidteae","Microcoleus vaginatus","Nocardioides panacis","Paracoccus jeotgali","Paraburkholderia aromaticivorans","Nocardioides ungokensis","Pectobacterium carotovorum","Methylocystis heyeri","Serratia quinivorans","Nocardioides baekrokdamisoli","Paenarthrobacter nicotinovorans","Pseudarthrobacter psychrotolerans","Pantoea eucrina","Nocardioides okcheonensis","Parasphingopyxis algicola","Lactobacillus kullabergensis"
"Paraburkholderia aromaticivorans","Sphingomonas sabuli","Niveibacterium microcysteis","Ralstonia pseudosolanacearum","Nocardioides okcheonensis","Nocardioides baekrokdamisoli","Mycolicibacterium gilvum","Oxynema aestuarii","Stenotrophomonas maltophilia","Simplicispira suum","Pseudomonas marincola","Pantoea eucalypti","Pengzhenrongella sicca","Microlunatus elymi","Nocardioides piscis","Paracoccus kondratievae","Paraburkholderia fungorum","Nodularia sphaerocarpa","Pectobacterium punjabense","Methylorubrum extorquens","Shewanella xiamenensis","Nocardioides coralli","Paenibacillus naphthalenovorans","Pseudochrobactrum algeriensis","Pantoea stewartii","Nocardioides panacis","Paroceanicella profunda","Lactobacillus paragasseri"
"Paraburkholderia fungorum","Sphingomonas sanxanigenens","Nocardioides anomalus","Ralstonia syzygii","Nocardioides panacis","Nocardioides coralli","Mycolicibacterium madagascariense","Paenarthrobacter nicotinovorans","Stenotrophomonas pavanii","Skermanella rosea","Pseudomonas maumuensis","Pantoea eucrina","Peptacetobacter hiranonis","Microlunatus phosphovorus","Nocardioides rotundus","Paracoccus liaowanqingii","Paracoccus aminophilus","Nosocomiicoccus ampullae","Pedobacter ginsengisoli","Methylorubrum populi","Shigella dysenteriae","Nocardioides cynanchi","Panacibacter ginsenosidivorans","Pseudoduganella armeniaca","Paraburkholderia aromaticivorans","Nocardioides piscis","Parvimonas micra","Lactobacillus taiwanensis"
"Paracoccus aminovorans","Sphingomonas sediminicola","Nocardioides aquaticus","Ramlibacter tataouinensis","Nocardioides piscis","Nocardioides dokdonensis","Mycolicibacterium mucogenicum","Pandoraea commovens","Streptococcus australis","Sphaerotilus sulfidivorans","Pseudomonas mendocina","Pantoea stewartii","Peptoniphilus harei","Micropruina glycogenica","Nocardioides sambongensis","Paracoccus marcusii","Paracoccus aminovorans","Nostoc edaphicum","Pedobacter mucosus","Methylotenera mobilis","Shigella flexneri","Nocardioides dokdonensis","Pandoraea apista","Pseudoduganella flava","Paraburkholderia fungorum","Nocardioides rotundus","Pectobacterium punjabense","Lactococcus cremoris"
"Paracoccus contaminans","Sphingomonas sinipercae","Nocardioides baekrokdamisoli","Rathayibacter festucae","Nocardioides rotundus","Nocardioides dongkuii","Mycolicibacterium phocaicum","Pantoea agglomerans","Streptococcus cristatus","Sphingobacterium multivorum","Pseudomonas monsensis","Paraburkholderia aromaticivorans","Peptoniphilus ivorii","Microvirga ossetica","Nocardioides seonyuensis","Paracoccus mutanolyticus","Paracoccus contaminans","Nostoc sphaeroides","Pedobacter schmidteae","Methylotenera versatilis","Shigella sonnei","Nocardioides dongkuii","Pandoraea commovens","Pseudoduganella plicata","Paracoccus aminophilus","Nocardioides seonyuensis","Pedobacter heparinus","Lactococcus lactis"
"Paracoccus jeotgali","Sphingomonas suaedae","Nocardioides coralli","Rheinheimera mangrovi","Nocardioides seonyuensis","Nocardioides euryhalodurans","Mycolicibacterium sediminis","Pantoea deleyi","Streptococcus gordonii","Sphingobium amiense","Pseudomonas monteilii","Paraburkholderia fungorum","Peribacillus frigoritolerans","Microvirga thermotolerans","Nocardioides ungokensis","Paracoccus sanguinis","Paracoccus jeotgali","Novisyntrophococcus fermenticellae","Pengzhenrongella sicca","Methylovorus glucosotrophus","Shinella zoogloeoides","Nocardioides euryhalodurans","Pantoea agglomerans","Pseudoduganella umbonata","Paracoccus aminovorans","Nocardioides ungokensis","Pedobacter mucosus","Lactococcus paracarnosus"
"Paracoccus kondratievae","Sphingomonas taxi","Nocardioides cynanchi","Rhizobacter gummiphilus","Nocardioides ungokensis","Nocardioides mesophilus","Mycolicibacterium thermoresistibile","Pantoea dispersa","Streptococcus gwangjuense","Sphingobium cloacae","Pseudomonas mosselii","Paracoccus aminovorans","Phenylobacterium parvum","Miniphocaeibacter halophilus","Nodularia sphaerocarpa","Paracoccus suum","Paracoccus kondratievae","Novosphingobium aromaticivorans","Peptacetobacter hiranonis","Microbacterium amylolyticum","Simplicispira suum","Nocardioides mesophilus","Pantoea dispersa","Pseudomonas aeruginosa","Paracoccus contaminans","Nodularia sphaerocarpa","Pedobacter schmidteae","Lancefieldella parvula"
"Paracoccus liaowanqingii","Sphingomonas xanthus","Nocardioides dokdonensis","Rhizobium daejeonense","Nocardiopsis dassonvillei","Nocardioides okcheonensis","Nakamurella antarctica","Pantoea eucalypti","Streptococcus intermedius","Sphingobium fuliginis","Pseudomonas multiresinivorans","Paracoccus contaminans","Phenylobacterium zucineum","Mobiluncus curtisii","Nodularia spumigena","Paracoccus yeei","Paracoccus liaowanqingii","Novosphingobium decolorationis","Peptoniphilus harei","Microbacterium atlanticum","Skermanella rosea","Nocardioides okcheonensis","Pantoea eucalypti","Pseudomonas alcaligenes","Paracoccus jeotgali","Nosocomiicoccus ampullae","Pengzhenrongella sicca","Latilactobacillus sakei"
"Paracoccus marcusii","Sphingopyxis alaskensis","Nocardioides dongkuii","Rhizobium oryzihabitans","Nodularia sphaerocarpa","Nocardioides panacis","Nakamurella multipartita","Pantoea eucrina","Streptococcus koreensis","Sphingobium indicum","Pseudomonas muyukensis","Paracoccus jeotgali","Phocaeicola coprophilus","Moraxella cuniculi","Nosocomiicoccus ampullae","Paracoccus zhejiangensis","Paracoccus marcusii","Novosphingobium ginsenosidimutans","Peptoniphilus ivorii","Microbacterium aurum","Sphaerotilus sulfidivorans","Nocardioides panacis","Pantoea eucrina","Pseudomonas asgharzadehiana","Paracoccus kondratievae","Nostoc edaphicum","Peptoniphilus harei","Lautropia mirabilis"
"Paracoccus mutanolyticus","Sphingopyxis fribergensis","Nocardioides euryhalodurans","Rhizobium pusense","Nosocomiicoccus ampullae","Nocardioides piscis","Neisseria cinerea","Pantoea stewartii","Streptococcus lactarius","Sphingobium phenoxybenzoativorans","Pseudomonas oleovorans","Paracoccus kondratievae","Phocaeicola dorei","Moraxella nasovis","Nostoc edaphicum","Paradevosia shaoguanensis","Paracoccus mutanolyticus","Novosphingobium pentaromativorans","Peribacillus frigoritolerans","Microbacterium binotii","Sphingobacterium multivorum","Nocardioides piscis","Pantoea stewartii","Pseudomonas campi","Paracoccus liaowanqingii","Nostoc sphaeroides","Phenylobacterium parvum","Lawsonella clevelandensis"
"Paracoccus sanguinis","Sphingopyxis macrogoltabida","Nocardioides humi","Rhizorhabdus dicambivorans","Nostoc edaphicum","Nocardioides rotundus","Neisseria elongata","Paraburkholderia aromaticivorans","Streptococcus lutetiensis","Sphingobium xenophagum","Pseudomonas orientalis","Paracoccus liaowanqingii","Phocaeicola vulgatus","Moraxella nonliquefaciens","Nostoc sphaeroides","Parageobacillus toebii","Paracoccus sanguinis","Novosphingobium resinovorum","Phascolarctobacterium faecium","Microbacterium caowuchunii","Sphingobium amiense","Nocardioides rotundus","Paraburkholderia aromaticivorans","Pseudomonas citronellolis","Paracoccus marcusii","Novosphingobium aromaticivorans","Phenylobacterium zucineum","Leclercia adecarboxylata"
"Paracoccus suum","Sphingosinithalassobacter tenebrarum","Nocardioides mesophilus","Rhizorhabdus phycosphaerae","Novosphingobium aromaticivorans","Nocardioides seonyuensis","Neisseria flavescens","Paraburkholderia fungorum","Streptococcus mutans","Sphingobium yanoikuyae","Pseudomonas oryziphila","Paracoccus marcusii","Phormidium yuhuli","Moraxella osloensis","Novosphingobium aromaticivorans","Parascardovia denticolens","Paracoccus suum","Occultella kanbiaonis","Phenylobacterium parvum","Microbacterium cremeum","Sphingobium cloacae","Nocardioides sambongensis","Paraburkholderia fungorum","Pseudomonas donghuensis","Paracoccus mutanolyticus","Novosphingobium decolorationis","Phocaeicola coprophilus","Leclercia pneumoniae"
"Paracoccus yeei","Spirosoma pollinicola","Nocardioides okcheonensis","Rhizorhabdus wittichii","Novosphingobium decolorationis","Nocardioides ungokensis","Neisseria macacae","Paracoccus aminovorans","Streptococcus oralis","Sphingomonas aliaeris","Pseudomonas otitidis","Paracoccus mutanolyticus","Phreatobacter stygius","Morococcus cerebrosus","Novosphingobium decolorationis","Paroceanicella profunda","Paracoccus yeei","Ornithinimicrobium avium","Phenylobacterium zucineum","Microbacterium endophyticum","Sphingobium fuliginis","Nocardioides seonyuensis","Paraburkholderia phytofirmans","Pseudomonas eucalypticola","Paracoccus pantotrophus","Novosphingobium ginsenosidimutans","Phocaeicola dorei","Legionella hackeliae"
"Paracoccus zhejiangensis","Staphylococcus aureus","Nocardioides panacis","Rhodococcus erythropolis","Novosphingobium ginsenosidimutans","Nosocomiicoccus ampullae","Neisseria sicca","Paracoccus contaminans","Streptococcus parasuis","Sphingomonas alpina","Pseudomonas pergaminensis","Paracoccus sanguinis","Phyllobacterium zundukense","Mucilaginibacter daejeonensis","Novosphingobium ginsenosidimutans","Parvimonas micra","Paracoccus zhejiangensis","Ornithinimicrobium ciconiae","Phocaeicola coprophilus","Microbacterium foliorum","Sphingobium indicum","Nocardioides ungokensis","Paraburkholderia xenovorans","Pseudomonas fragi","Paracoccus sanguinis","Novosphingobium pentaromativorans","Phocaeicola vulgatus","Legionella jordanis"
"Paradevosia shaoguanensis","Staphylococcus auricularis","Nocardioides piscis","Rhodococcus fascians","Novosphingobium pentaromativorans","Nostoc edaphicum","Neisseria subflava","Paracoccus jeotgali","Streptococcus periodonticum","Sphingomonas changnyeongensis","Pseudomonas phenolilytica","Paracoccus suum","Phytobacter diazotrophicus","Mucilaginibacter ginsenosidivorax","Novosphingobium pentaromativorans","Pectobacterium carotovorum","Paradevosia shaoguanensis","Ornithinimicrobium flavum","Phocaeicola dorei","Microbacterium hominis","Sphingobium phenoxybenzoativorans","Nodularia sphaerocarpa","Paracoccus aminovorans","Pseudomonas furukawaii","Paracoccus suum","Novosphingobium resinovorum","Phormidium yuhuli","Leifsonia xyli"
"Parageobacillus toebii","Staphylococcus caprae","Nocardioides rotundus","Rhodococcus qingshengii","Novosphingobium resinovorum","Nostoc sphaeroides","Neomicrococcus aestuarii","Paracoccus kondratievae","Streptococcus pseudopneumoniae","Sphingomonas ginsengisoli An et al. 2013","Pseudomonas phragmitis","Paracoccus yeei","Phytobacter ursingii","Mycetocola spongiae","Novosphingobium resinovorum","Pedobacter mucosus","Parascardovia denticolens","Ornithinimicrobium pratense","Phocaeicola vulgatus","Microbacterium lemovicicum","Sphingobium xenophagum","Nosocomiicoccus ampullae","Paracoccus contaminans","Pseudomonas glycinae","Paracoccus yeei","Occultella kanbiaonis","Photobacterium toruni","Lentilactobacillus parabuchneri"
"Parascardovia denticolens","Staphylococcus epidermidis","Nocardioides seonyuensis","Rhodoferax aquaticus","Occultella kanbiaonis","Novosphingobium aromaticivorans","Neotabrizicola shimadae","Paracoccus liaowanqingii","Streptococcus thermophilus","Sphingomonas hengshuiensis","Pseudomonas plecoglossicida","Paracoccus zhejiangensis","Pluralibacter gergoviae","Mycetocola zhujimingii","Occultella kanbiaonis","Pedobacter schmidteae","Parvimonas micra","Oryzomicrobium terrae","Phormidium yuhuli","Microbacterium liquefaciens","Sphingobium yanoikuyae","Nostoc edaphicum","Paracoccus jeotgali","Pseudomonas hydrolytica","Paracoccus zhejiangensis","Ornithinimicrobium avium","Phreatobacter stygius","Leptodesmis sichuanensis"
"Paroceanicella profunda","Staphylococcus equorum","Nocardioides ungokensis","Rhodoferax ferrireducens","Ornithinimicrobium avium","Novosphingobium decolorationis","Nesterenkonia pannonica","Paracoccus marcusii","Stutzerimonas degradans","Sphingomonas koreensis","Pseudomonas promysalinigenes","Paradevosia shaoguanensis","Polaromonas naphthalenivorans","Mycobacterium paragordonae","Ornithinimicrobium avium","Pengzhenrongella sicca","Pedobacter mucosus","Oscillatoria acuminata","Phreatobacter stygius","Microbacterium lushaniae","Sphingomonas aliaeris","Nostoc sphaeroides","Paracoccus liaowanqingii","Pseudomonas iranensis","Paradevosia shaoguanensis","Ornithinimicrobium ciconiae","Phytobacter ursingii","Leptothermofonsia sichuanensis"
"Parvimonas micra","Staphylococcus haemolyticus","Nodularia sphaerocarpa","Rhodoferax koreense","Ornithinimicrobium ciconiae","Novosphingobium ginsenosidimutans","Niallia circulans","Paracoccus mutanolyticus","Stutzerimonas kunmingensis","Sphingomonas morindae","Pseudomonas protegens","Parageobacillus toebii","Porphyromonas asaccharolytica","Mycobacteroides chelonae","Ornithinimicrobium ciconiae","Peptacetobacter hiranonis","Pedobacter schmidteae","Oscillatoria nigro-viridis","Phytobacter diazotrophicus","Microbacterium luteum","Sphingomonas alpina","Novosphingobium aromaticivorans","Paracoccus marcusii","Pseudomonas juntendi","Parageobacillus toebii","Ornithinimicrobium flavum","Planococcus glaciei","Leptothrix cholodnii"
"Pedobacter mucosus","Staphylococcus hominis","Nosocomiicoccus ampullae","Rhodoferax saidenbachensis","Ornithinimicrobium flavum","Novosphingobium pentaromativorans","Niveibacterium microcysteis","Paracoccus pantotrophus","Stutzerimonas stutzeri","Sphingomonas paeninsulae","Pseudomonas psychrophila","Parascardovia denticolens","Porphyromonas gingivalis","Mycobacteroides immunogenum","Ornithinimicrobium flavum","Peptoniphilus harei","Pengzhenrongella sicca","Ottowia oryzae","Phytobacter ursingii","Microbacterium oleivorans","Sphingomonas changnyeongensis","Novosphingobium decolorationis","Paracoccus mutanolyticus","Pseudomonas khazarica","Parascardovia denticolens","Ornithinimicrobium pratense","Polaromonas naphthalenivorans","Leptotrichia buccalis"
